,age_range,audience_without_interest,country_code,country_name,ihme_prevalence,interest,interest_audience,interest_relative_audience,is_developed,is_english,statistic
0,15-19,4400000,DZ,Algeria,0.904127450977,All Smoking,100000,0.0227272727273,False,False,smoking
1,20-24,4500000,DZ,Algeria,5.05015189495,All Smoking,180000,0.04,False,False,smoking
2,25-29,3600000,DZ,Algeria,9.74156200686,All Smoking,140000,0.0388888888889,False,False,smoking
3,30-34,2300000,DZ,Algeria,10.3770574669,All Smoking,86000,0.0373913043478,False,False,smoking
4,35-39,1400000,DZ,Algeria,8.7901690787,All Smoking,45000,0.0321428571429,False,False,smoking
5,40-44,720000,DZ,Algeria,12.3725781923,All Smoking,22000,0.0305555555556,False,False,smoking
6,45-49,470000,DZ,Algeria,10.7567023626,All Smoking,13000,0.0276595744681,False,False,smoking
7,50-54,280000,DZ,Algeria,9.47193384963,All Smoking,7200,0.0257142857143,False,False,smoking
8,55-59,150000,DZ,Algeria,9.25429192553,All Smoking,3700,0.0246666666667,False,False,smoking
9,60-64,91000,DZ,Algeria,8.81483445152,All Smoking,2000,0.021978021978,False,False,smoking
10,15-19,88000,BH,Bahrain,0.813736195568,All Smoking,910,0.0103409090909,False,False,smoking
11,20-24,130000,BH,Bahrain,4.47599270588,All Smoking,2300,0.0176923076923,False,False,smoking
12,25-29,210000,BH,Bahrain,10.6434926909,All Smoking,3700,0.017619047619,False,False,smoking
13,30-34,170000,BH,Bahrain,11.0215941829,All Smoking,2600,0.0152941176471,False,False,smoking
14,35-39,120000,BH,Bahrain,11.4731287546,All Smoking,2000,0.0166666666667,False,False,smoking
15,40-44,73000,BH,Bahrain,13.392241656,All Smoking,1300,0.0178082191781,False,False,smoking
16,45-49,49000,BH,Bahrain,11.0755546008,All Smoking,1200,0.0244897959184,False,False,smoking
17,50-54,27000,BH,Bahrain,9.29258182538,All Smoking,500,0.0185185185185,False,False,smoking
18,55-59,16000,BH,Bahrain,9.79765328411,All Smoking,340,0.02125,False,False,smoking
19,60-64,7200,BH,Bahrain,9.69795439791,All Smoking,170,0.0236111111111,False,False,smoking
20,15-19,8600000,EG,Egypt,0.421103518418,All Smoking,320000,0.0372093023256,False,False,smoking
21,20-24,7200000,EG,Egypt,5.21565234608,All Smoking,410000,0.0569444444444,False,False,smoking
22,25-29,5800000,EG,Egypt,14.4308803789,All Smoking,450000,0.0775862068966,False,False,smoking
23,30-34,4300000,EG,Egypt,13.7345586984,All Smoking,370000,0.0860465116279,False,False,smoking
24,35-39,2900000,EG,Egypt,20.2526012233,All Smoking,270000,0.0931034482759,False,False,smoking
25,40-44,1700000,EG,Egypt,22.5736346123,All Smoking,180000,0.105882352941,False,False,smoking
26,45-49,1100000,EG,Egypt,18.6408963048,All Smoking,120000,0.109090909091,False,False,smoking
27,50-54,810000,EG,Egypt,16.0574126185,All Smoking,91000,0.112345679012,False,False,smoking
28,55-59,550000,EG,Egypt,15.8209244409,All Smoking,67000,0.121818181818,False,False,smoking
