,age_range,audience_without_interest,country_code,country_name,ihme_prevalence,interest,interest_audience,interest_relative_audience,is_developed,is_english,statistic
29,60-64,340000,EG,Egypt,13.9985325317,All Smoking,37000,0.108823529412,False,False,smoking
30,15-19,3600000,IQ,Iraq,0.672097712478,All Smoking,180000,0.05,False,False,smoking
31,20-24,3300000,IQ,Iraq,4.97805772396,All Smoking,270000,0.0818181818182,False,False,smoking
32,25-29,2800000,IQ,Iraq,10.8308256609,All Smoking,270000,0.0964285714286,False,False,smoking
33,30-34,1700000,IQ,Iraq,15.4922586138,All Smoking,180000,0.105882352941,False,False,smoking
34,35-39,1200000,IQ,Iraq,26.1193743792,All Smoking,140000,0.116666666667,False,False,smoking
35,40-44,730000,IQ,Iraq,31.8728382126,All Smoking,90000,0.123287671233,False,False,smoking
36,45-49,550000,IQ,Iraq,27.5222747723,All Smoking,69000,0.125454545455,False,False,smoking
37,50-54,310000,IQ,Iraq,20.3455662267,All Smoking,41000,0.132258064516,False,False,smoking
38,55-59,190000,IQ,Iraq,18.7930974341,All Smoking,26000,0.136842105263,False,False,smoking
39,60-64,110000,IQ,Iraq,17.3741764375,All Smoking,13000,0.118181818182,False,False,smoking
40,15-19,1000000,JO,Jordan,1.00642159698,All Smoking,53000,0.053,False,False,smoking
41,20-24,1200000,JO,Jordan,8.62238695817,All Smoking,88000,0.0733333333333,False,False,smoking
42,25-29,890000,JO,Jordan,17.3880272049,All Smoking,76000,0.085393258427,False,False,smoking
43,30-34,580000,JO,Jordan,17.1093987649,All Smoking,48000,0.0827586206897,False,False,smoking
44,35-39,440000,JO,Jordan,18.754263178,All Smoking,30000,0.0681818181818,False,False,smoking
45,40-44,290000,JO,Jordan,25.0552626254,All Smoking,20000,0.0689655172414,False,False,smoking
46,45-49,230000,JO,Jordan,23.4748393837,All Smoking,16000,0.0695652173913,False,False,smoking
47,50-54,150000,JO,Jordan,20.5863028594,All Smoking,12000,0.08,False,False,smoking
48,55-59,86000,JO,Jordan,17.9681881932,All Smoking,8100,0.0941860465116,False,False,smoking
49,60-64,49000,JO,Jordan,16.2584461377,All Smoking,4700,0.0959183673469,False,False,smoking
50,15-19,240000,KW,Kuwait,1.7707029263,All Smoking,2300,0.00958333333333,False,True,smoking
51,20-24,280000,KW,Kuwait,8.66518131515,All Smoking,6300,0.0225,False,True,smoking
52,25-29,590000,KW,Kuwait,18.0517011255,All Smoking,16000,0.0271186440678,False,True,smoking
53,30-34,530000,KW,Kuwait,20.6076914707,All Smoking,15000,0.0283018867925,False,True,smoking
54,35-39,400000,KW,Kuwait,17.9669326801,All Smoking,11000,0.0275,False,True,smoking
55,40-44,240000,KW,Kuwait,11.7871699065,All Smoking,7500,0.03125,False,True,smoking
56,45-49,150000,KW,Kuwait,11.2886134336,All Smoking,4900,0.0326666666667,False,True,smoking
57,50-54,80000,KW,Kuwait,10.34199313,All Smoking,2600,0.0325,False,True,smoking
58,55-59,44000,KW,Kuwait,10.1843130454,All Smoking,840,0.0190909090909,False,True,smoking
59,60-64,22000,KW,Kuwait,9.52619776978,All Smoking,280,0.0127272727273,False,True,smoking
60,15-19,580000,LB,Lebanon,0.863642357605,All Smoking,15000,0.0258620689655,False,True,smoking
61,20-24,620000,LB,Lebanon,7.45744278348,All Smoking,20000,0.0322580645161,False,True,smoking
62,25-29,570000,LB,Lebanon,16.7028789908,All Smoking,22000,0.0385964912281,False,True,smoking
63,30-34,410000,LB,Lebanon,15.5682758503,All Smoking,17000,0.0414634146341,False,True,smoking
64,35-39,310000,LB,Lebanon,25.3670147461,All Smoking,15000,0.0483870967742,False,True,smoking
65,40-44,210000,LB,Lebanon,36.0716360138,All Smoking,11000,0.052380952381,False,True,smoking
66,45-49,180000,LB,Lebanon,38.3869311948,All Smoking,12000,0.0666666666667,False,True,smoking
67,50-54,130000,LB,Lebanon,33.918906377,All Smoking,11000,0.0846153846154,False,True,smoking
68,55-59,88000,LB,Lebanon,32.2969133993,All Smoking,9200,0.104545454545,False,True,smoking
69,60-64,49000,LB,Lebanon,28.7798316943,All Smoking,6300,0.128571428571,False,True,smoking
70,15-19,570000,LY,Libya,0.396608564473,All Smoking,12000,0.0210526315789,False,False,smoking
71,20-24,630000,LY,Libya,2.20940162478,All Smoking,20000,0.031746031746,False,False,smoking
72,25-29,640000,LY,Libya,7.62071140865,All Smoking,22000,0.034375,False,False,smoking
73,30-34,460000,LY,Libya,13.5633014946,All Smoking,17000,0.0369565217391,False,False,smoking
74,35-39,340000,LY,Libya,17.3261169515,All Smoking,13000,0.0382352941176,False,False,smoking
75,40-44,210000,LY,Libya,27.9060503814,All Smoking,7900,0.037619047619,False,False,smoking
76,45-49,150000,LY,Libya,28.2566331822,All Smoking,5500,0.0366666666667,False,False,smoking
77,50-54,78000,LY,Libya,22.4701415317,All Smoking,2500,0.0320512820513,False,False,smoking
78,55-59,43000,LY,Libya,20.0334275973,All Smoking,1300,0.0302325581395,False,False,smoking
79,60-64,20000,LY,Libya,19.3698830039,All Smoking,600,0.03,False,False,smoking
80,15-19,3700000,MA,Morocco,0.315043785721,All Smoking,210000,0.0567567567568,False,False,smoking
81,20-24,3400000,MA,Morocco,2.13105009071,All Smoking,230000,0.0676470588235,False,False,smoking
82,25-29,2400000,MA,Morocco,5.99096768794,All Smoking,100000,0.0416666666667,False,False,smoking
83,30-34,1800000,MA,Morocco,8.72180456981,All Smoking,63000,0.035,False,False,smoking
84,35-39,930000,MA,Morocco,17.6917351061,All Smoking,33000,0.0354838709677,False,False,smoking
85,40-44,540000,MA,Morocco,26.2372603626,All Smoking,18000,0.0333333333333,False,False,smoking
86,45-49,390000,MA,Morocco,25.7237009801,All Smoking,10000,0.025641025641,False,False,smoking
87,50-54,230000,MA,Morocco,21.1791137124,All Smoking,5200,0.0226086956522,False,False,smoking
88,55-59,160000,MA,Morocco,17.9317920251,All Smoking,3500,0.021875,False,False,smoking
89,60-64,93000,MA,Morocco,13.7799669156,All Smoking,2000,0.0215053763441,False,False,smoking
90,15-19,210000,OM,Oman,0.406697856081,All Smoking,1500,0.00714285714286,False,True,smoking
91,20-24,280000,OM,Oman,2.94952076045,All Smoking,3300,0.0117857142857,False,True,smoking
92,25-29,430000,OM,Oman,6.69722941555,All Smoking,4900,0.0113953488372,False,True,smoking
93,30-34,310000,OM,Oman,13.5588494083,All Smoking,3200,0.0103225806452,False,True,smoking
94,35-39,190000,OM,Oman,9.29209265683,All Smoking,2300,0.0121052631579,False,True,smoking
95,40-44,100000,OM,Oman,6.53945148423,All Smoking,1200,0.012,False,True,smoking
96,45-49,62000,OM,Oman,6.86902068004,All Smoking,950,0.0153225806452,False,True,smoking
97,50-54,30000,OM,Oman,7.22953346917,All Smoking,530,0.0176666666667,False,True,smoking
98,55-59,16000,OM,Oman,6.9582335049,All Smoking,360,0.0225,False,True,smoking
99,60-64,7400,OM,Oman,6.03419951388,All Smoking,90,0.0121621621622,False,True,smoking
100,15-19,240000,QA,Qatar,0.65610438745,All Smoking,2300,0.00958333333333,False,True,smoking
101,20-24,420000,QA,Qatar,5.18787207097,All Smoking,8900,0.0211904761905,False,True,smoking
102,25-29,600000,QA,Qatar,9.97634502636,All Smoking,13000,0.0216666666667,False,True,smoking
103,30-34,480000,QA,Qatar,15.7297025148,All Smoking,8700,0.018125,False,True,smoking
104,35-39,330000,QA,Qatar,12.3897670952,All Smoking,4600,0.0139393939394,False,True,smoking
105,40-44,180000,QA,Qatar,9.15575158475,All Smoking,1900,0.0105555555556,False,True,smoking
106,45-49,110000,QA,Qatar,9.76020929885,All Smoking,1100,0.01,False,True,smoking
107,50-54,53000,QA,Qatar,8.2563767435,All Smoking,530,0.01,False,True,smoking
108,55-59,28000,QA,Qatar,9.31451691521,All Smoking,230,0.00821428571429,False,True,smoking
109,60-64,13000,QA,Qatar,9.05309582873,All Smoking,140,0.0107692307692,False,True,smoking
110,15-19,2100000,SA,Saudi Arabia,0.668350859572,All Smoking,33000,0.0157142857143,False,True,smoking
111,20-24,2400000,SA,Saudi Arabia,3.78345226907,All Smoking,40000,0.0166666666667,False,True,smoking
112,25-29,3900000,SA,Saudi Arabia,13.5006264431,All Smoking,74000,0.0189743589744,False,True,smoking
113,30-34,2800000,SA,Saudi Arabia,17.3381014034,All Smoking,53000,0.0189285714286,False,True,smoking
114,35-39,1900000,SA,Saudi Arabia,14.2783984977,All Smoking,36000,0.0189473684211,False,True,smoking
115,40-44,960000,SA,Saudi Arabia,10.2767380763,All Smoking,18000,0.01875,False,True,smoking
116,45-49,650000,SA,Saudi Arabia,11.1598191967,All Smoking,12000,0.0184615384615,False,True,smoking
117,50-54,370000,SA,Saudi Arabia,9.37340709423,All Smoking,6800,0.0183783783784,False,True,smoking
118,55-59,230000,SA,Saudi Arabia,8.75527719563,All Smoking,4900,0.0213043478261,False,True,smoking
119,60-64,110000,SA,Saudi Arabia,8.71388485495,All Smoking,2000,0.0181818181818,False,True,smoking
120,15-19,1200000,TN,Tunisia,0.795086548223,All Smoking,52000,0.0433333333333,False,False,smoking
121,20-24,1400000,TN,Tunisia,5.15627900231,All Smoking,99000,0.0707142857143,False,False,smoking
122,25-29,1200000,TN,Tunisia,14.0444721646,All Smoking,87000,0.0725,False,False,smoking
123,30-34,880000,TN,Tunisia,14.3051202384,All Smoking,64000,0.0727272727273,False,False,smoking
124,35-39,560000,TN,Tunisia,24.2965355837,All Smoking,44000,0.0785714285714,False,False,smoking
125,40-44,330000,TN,Tunisia,34.0097100566,All Smoking,26000,0.0787878787879,False,False,smoking
126,45-49,240000,TN,Tunisia,34.2073978945,All Smoking,18000,0.075,False,False,smoking
127,50-54,160000,TN,Tunisia,28.1888938352,All Smoking,12000,0.075,False,False,smoking
128,55-59,100000,TN,Tunisia,26.7319004003,All Smoking,8200,0.082,False,False,smoking
129,60-64,66000,TN,Tunisia,25.5504455889,All Smoking,6100,0.0924242424242,False,False,smoking
130,15-19,650000,AE,United Arab Emirates,0.906055242972,All Smoking,8600,0.0132307692308,False,True,smoking
131,20-24,1200000,AE,United Arab Emirates,6.47301210174,All Smoking,36000,0.03,False,True,smoking
132,25-29,2000000,AE,United Arab Emirates,9.77980259465,All Smoking,54000,0.027,False,True,smoking
133,30-34,1600000,AE,United Arab Emirates,16.0674389439,All Smoking,36000,0.0225,False,True,smoking
134,35-39,1100000,AE,United Arab Emirates,12.3366793135,All Smoking,21000,0.0190909090909,False,True,smoking
135,40-44,590000,AE,United Arab Emirates,9.27775291933,All Smoking,10000,0.0169491525424,False,True,smoking
136,45-49,370000,AE,United Arab Emirates,8.43931125275,All Smoking,6000,0.0162162162162,False,True,smoking
137,50-54,190000,AE,United Arab Emirates,8.76992643162,All Smoking,2900,0.0152631578947,False,True,smoking
138,55-59,120000,AE,United Arab Emirates,10.3194059403,All Smoking,2000,0.0166666666667,False,True,smoking
139,60-64,54000,AE,United Arab Emirates,10.3202418771,All Smoking,1100,0.0203703703704,False,True,smoking
140,15-19,410000,YE,Yemen,0.473571594963,All Smoking,16000,0.0390243902439,False,False,smoking
141,20-24,480000,YE,Yemen,3.61304773473,All Smoking,29000,0.0604166666667,False,False,smoking
142,25-29,460000,YE,Yemen,9.75303791865,All Smoking,28000,0.0608695652174,False,False,smoking
143,30-34,300000,YE,Yemen,11.0214549557,All Smoking,19000,0.0633333333333,False,False,smoking
144,35-39,170000,YE,Yemen,18.367464621,All Smoking,11000,0.0647058823529,False,False,smoking
145,40-44,81000,YE,Yemen,24.1594095822,All Smoking,5800,0.0716049382716,False,False,smoking
146,45-49,48000,YE,Yemen,20.3576035595,All Smoking,3600,0.075,False,False,smoking
147,50-54,22000,YE,Yemen,16.3132977484,All Smoking,1900,0.0863636363636,False,False,smoking
148,55-59,14000,YE,Yemen,15.0278893724,All Smoking,1000,0.0714285714286,False,False,smoking
149,60-64,6500,YE,Yemen,13.6859017535,All Smoking,610,0.0938461538462,False,False,smoking
150,15-19,4400000,DZ,Algeria,0.904127450977,Smoking,41000,0.00931818181818,False,False,smoking
151,20-24,4500000,DZ,Algeria,5.05015189495,Smoking,72000,0.016,False,False,smoking
152,25-29,3600000,DZ,Algeria,9.74156200686,Smoking,63000,0.0175,False,False,smoking
153,30-34,2300000,DZ,Algeria,10.3770574669,Smoking,38000,0.0165217391304,False,False,smoking
154,35-39,1400000,DZ,Algeria,8.7901690787,Smoking,18000,0.0128571428571,False,False,smoking
155,40-44,720000,DZ,Algeria,12.3725781923,Smoking,8300,0.0115277777778,False,False,smoking
156,45-49,470000,DZ,Algeria,10.7567023626,Smoking,5100,0.0108510638298,False,False,smoking
157,50-54,280000,DZ,Algeria,9.47193384963,Smoking,3000,0.0107142857143,False,False,smoking
158,55-59,150000,DZ,Algeria,9.25429192553,Smoking,1100,0.00733333333333,False,False,smoking
159,60-64,91000,DZ,Algeria,8.81483445152,Smoking,500,0.00549450549451,False,False,smoking
160,15-19,88000,BH,Bahrain,0.813736195568,Smoking,650,0.00738636363636,False,False,smoking
161,20-24,130000,BH,Bahrain,4.47599270588,Smoking,1100,0.00846153846154,False,False,smoking
162,25-29,210000,BH,Bahrain,10.6434926909,Smoking,2400,0.0114285714286,False,False,smoking
163,30-34,170000,BH,Bahrain,11.0215941829,Smoking,1900,0.0111764705882,False,False,smoking
164,35-39,120000,BH,Bahrain,11.4731287546,Smoking,1500,0.0125,False,False,smoking
165,40-44,73000,BH,Bahrain,13.392241656,Smoking,1100,0.0150684931507,False,False,smoking
166,45-49,49000,BH,Bahrain,11.0755546008,Smoking,900,0.0183673469388,False,False,smoking
167,50-54,27000,BH,Bahrain,9.29258182538,Smoking,520,0.0192592592593,False,False,smoking
168,55-59,16000,BH,Bahrain,9.79765328411,Smoking,330,0.020625,False,False,smoking
169,60-64,7200,BH,Bahrain,9.69795439791,Smoking,170,0.0236111111111,False,False,smoking
170,15-19,8600000,EG,Egypt,0.421103518418,Smoking,140000,0.0162790697674,False,False,smoking
171,20-24,7200000,EG,Egypt,5.21565234608,Smoking,200000,0.0277777777778,False,False,smoking
172,25-29,5800000,EG,Egypt,14.4308803789,Smoking,280000,0.048275862069,False,False,smoking
173,30-34,4300000,EG,Egypt,13.7345586984,Smoking,250000,0.0581395348837,False,False,smoking
174,35-39,2900000,EG,Egypt,20.2526012233,Smoking,190000,0.0655172413793,False,False,smoking
175,40-44,1700000,EG,Egypt,22.5736346123,Smoking,130000,0.0764705882353,False,False,smoking
176,45-49,1100000,EG,Egypt,18.6408963048,Smoking,87000,0.0790909090909,False,False,smoking
177,50-54,810000,EG,Egypt,16.0574126185,Smoking,69000,0.0851851851852,False,False,smoking
178,55-59,550000,EG,Egypt,15.8209244409,Smoking,54000,0.0981818181818,False,False,smoking
179,60-64,340000,EG,Egypt,13.9985325317,Smoking,28000,0.0823529411765,False,False,smoking
180,15-19,3600000,IQ,Iraq,0.672097712478,Smoking,90000,0.025,False,False,smoking
181,20-24,3300000,IQ,Iraq,4.97805772396,Smoking,130000,0.0393939393939,False,False,smoking
182,25-29,2800000,IQ,Iraq,10.8308256609,Smoking,150000,0.0535714285714,False,False,smoking
183,30-34,1700000,IQ,Iraq,15.4922586138,Smoking,110000,0.0647058823529,False,False,smoking
184,35-39,1200000,IQ,Iraq,26.1193743792,Smoking,85000,0.0708333333333,False,False,smoking
185,40-44,730000,IQ,Iraq,31.8728382126,Smoking,54000,0.0739726027397,False,False,smoking
186,45-49,550000,IQ,Iraq,27.5222747723,Smoking,40000,0.0727272727273,False,False,smoking
187,50-54,310000,IQ,Iraq,20.3455662267,Smoking,23000,0.0741935483871,False,False,smoking
188,55-59,190000,IQ,Iraq,18.7930974341,Smoking,14000,0.0736842105263,False,False,smoking
189,60-64,110000,IQ,Iraq,17.3741764375,Smoking,7700,0.07,False,False,smoking
190,15-19,1000000,JO,Jordan,1.00642159698,Smoking,21000,0.021,False,False,smoking
191,20-24,1200000,JO,Jordan,8.62238695817,Smoking,31000,0.0258333333333,False,False,smoking
192,25-29,890000,JO,Jordan,17.3880272049,Smoking,38000,0.0426966292135,False,False,smoking
193,30-34,580000,JO,Jordan,17.1093987649,Smoking,25000,0.0431034482759,False,False,smoking
194,35-39,440000,JO,Jordan,18.754263178,Smoking,16000,0.0363636363636,False,False,smoking
195,40-44,290000,JO,Jordan,25.0552626254,Smoking,11000,0.0379310344828,False,False,smoking
196,45-49,230000,JO,Jordan,23.4748393837,Smoking,8800,0.0382608695652,False,False,smoking
197,50-54,150000,JO,Jordan,20.5863028594,Smoking,6600,0.044,False,False,smoking
198,55-59,86000,JO,Jordan,17.9681881932,Smoking,4400,0.0511627906977,False,False,smoking
199,60-64,49000,JO,Jordan,16.2584461377,Smoking,2600,0.0530612244898,False,False,smoking
200,15-19,240000,KW,Kuwait,1.7707029263,Smoking,970,0.00404166666667,False,True,smoking
201,20-24,280000,KW,Kuwait,8.66518131515,Smoking,2200,0.00785714285714,False,True,smoking
202,25-29,590000,KW,Kuwait,18.0517011255,Smoking,7200,0.0122033898305,False,True,smoking
203,30-34,530000,KW,Kuwait,20.6076914707,Smoking,6700,0.012641509434,False,True,smoking
204,35-39,400000,KW,Kuwait,17.9669326801,Smoking,5300,0.01325,False,True,smoking
205,40-44,240000,KW,Kuwait,11.7871699065,Smoking,3400,0.0141666666667,False,True,smoking
206,45-49,150000,KW,Kuwait,11.2886134336,Smoking,2500,0.0166666666667,False,True,smoking
207,50-54,80000,KW,Kuwait,10.34199313,Smoking,970,0.012125,False,True,smoking
208,55-59,44000,KW,Kuwait,10.1843130454,Smoking,530,0.0120454545455,False,True,smoking
209,60-64,22000,KW,Kuwait,9.52619776978,Smoking,150,0.00681818181818,False,True,smoking
210,15-19,580000,LB,Lebanon,0.863642357605,Smoking,3100,0.00534482758621,False,True,smoking
211,20-24,620000,LB,Lebanon,7.45744278348,Smoking,4200,0.00677419354839,False,True,smoking
212,25-29,570000,LB,Lebanon,16.7028789908,Smoking,9900,0.0173684210526,False,True,smoking
213,30-34,410000,LB,Lebanon,15.5682758503,Smoking,8600,0.0209756097561,False,True,smoking
214,35-39,310000,LB,Lebanon,25.3670147461,Smoking,8600,0.0277419354839,False,True,smoking
215,40-44,210000,LB,Lebanon,36.0716360138,Smoking,7300,0.0347619047619,False,True,smoking
216,45-49,180000,LB,Lebanon,38.3869311948,Smoking,8400,0.0466666666667,False,True,smoking
217,50-54,130000,LB,Lebanon,33.918906377,Smoking,9300,0.0715384615385,False,True,smoking
218,55-59,88000,LB,Lebanon,32.2969133993,Smoking,8200,0.0931818181818,False,True,smoking
219,60-64,49000,LB,Lebanon,28.7798316943,Smoking,4900,0.1,False,True,smoking
220,15-19,570000,LY,Libya,0.396608564473,Smoking,3500,0.00614035087719,False,False,smoking
221,20-24,630000,LY,Libya,2.20940162478,Smoking,6500,0.0103174603175,False,False,smoking
222,25-29,640000,LY,Libya,7.62071140865,Smoking,7300,0.01140625,False,False,smoking
223,30-34,460000,LY,Libya,13.5633014946,Smoking,6000,0.0130434782609,False,False,smoking
224,35-39,340000,LY,Libya,17.3261169515,Smoking,4300,0.0126470588235,False,False,smoking
225,40-44,210000,LY,Libya,27.9060503814,Smoking,2700,0.0128571428571,False,False,smoking
226,45-49,150000,LY,Libya,28.2566331822,Smoking,1800,0.012,False,False,smoking
227,50-54,78000,LY,Libya,22.4701415317,Smoking,630,0.00807692307692,False,False,smoking
228,55-59,43000,LY,Libya,20.0334275973,Smoking,260,0.00604651162791,False,False,smoking
229,60-64,20000,LY,Libya,19.3698830039,Smoking,130,0.0065,False,False,smoking
230,15-19,3700000,MA,Morocco,0.315043785721,Smoking,140000,0.0378378378378,False,False,smoking
231,20-24,3400000,MA,Morocco,2.13105009071,Smoking,140000,0.0411764705882,False,False,smoking
232,25-29,2400000,MA,Morocco,5.99096768794,Smoking,56000,0.0233333333333,False,False,smoking
233,30-34,1800000,MA,Morocco,8.72180456981,Smoking,31000,0.0172222222222,False,False,smoking
234,35-39,930000,MA,Morocco,17.6917351061,Smoking,14000,0.0150537634409,False,False,smoking
235,40-44,540000,MA,Morocco,26.2372603626,Smoking,8400,0.0155555555556,False,False,smoking
236,45-49,390000,MA,Morocco,25.7237009801,Smoking,4000,0.0102564102564,False,False,smoking
237,50-54,230000,MA,Morocco,21.1791137124,Smoking,1800,0.00782608695652,False,False,smoking
238,55-59,160000,MA,Morocco,17.9317920251,Smoking,1200,0.0075,False,False,smoking
239,60-64,93000,MA,Morocco,13.7799669156,Smoking,640,0.00688172043011,False,False,smoking
240,15-19,210000,OM,Oman,0.406697856081,Smoking,940,0.00447619047619,False,True,smoking
241,20-24,280000,OM,Oman,2.94952076045,Smoking,1900,0.00678571428571,False,True,smoking
242,25-29,430000,OM,Oman,6.69722941555,Smoking,2900,0.00674418604651,False,True,smoking
243,30-34,310000,OM,Oman,13.5588494083,Smoking,2100,0.00677419354839,False,True,smoking
244,35-39,190000,OM,Oman,9.29209265683,Smoking,1400,0.00736842105263,False,True,smoking
245,40-44,100000,OM,Oman,6.53945148423,Smoking,890,0.0089,False,True,smoking
246,45-49,62000,OM,Oman,6.86902068004,Smoking,760,0.0122580645161,False,True,smoking
247,50-54,30000,OM,Oman,7.22953346917,Smoking,340,0.0113333333333,False,True,smoking
248,55-59,16000,OM,Oman,6.9582335049,Smoking,230,0.014375,False,True,smoking
249,60-64,7400,OM,Oman,6.03419951388,Smoking,60,0.00810810810811,False,True,smoking
250,15-19,240000,QA,Qatar,0.65610438745,Smoking,720,0.003,False,True,smoking
251,20-24,420000,QA,Qatar,5.18787207097,Smoking,2100,0.005,False,True,smoking
252,25-29,600000,QA,Qatar,9.97634502636,Smoking,3000,0.005,False,True,smoking
253,30-34,480000,QA,Qatar,15.7297025148,Smoking,2400,0.005,False,True,smoking
254,35-39,330000,QA,Qatar,12.3897670952,Smoking,1600,0.00484848484848,False,True,smoking
255,40-44,180000,QA,Qatar,9.15575158475,Smoking,870,0.00483333333333,False,True,smoking
256,45-49,110000,QA,Qatar,9.76020929885,Smoking,570,0.00518181818182,False,True,smoking
257,50-54,53000,QA,Qatar,8.2563767435,Smoking,280,0.00528301886792,False,True,smoking
258,55-59,28000,QA,Qatar,9.31451691521,Smoking,160,0.00571428571429,False,True,smoking
259,60-64,13000,QA,Qatar,9.05309582873,Smoking,80,0.00615384615385,False,True,smoking
260,15-19,2100000,SA,Saudi Arabia,0.668350859572,Smoking,21000,0.01,False,True,smoking
261,20-24,2400000,SA,Saudi Arabia,3.78345226907,Smoking,20000,0.00833333333333,False,True,smoking
262,25-29,3900000,SA,Saudi Arabia,13.5006264431,Smoking,34000,0.00871794871795,False,True,smoking
263,30-34,2800000,SA,Saudi Arabia,17.3381014034,Smoking,26000,0.00928571428571,False,True,smoking
264,35-39,1900000,SA,Saudi Arabia,14.2783984977,Smoking,17000,0.00894736842105,False,True,smoking
265,40-44,960000,SA,Saudi Arabia,10.2767380763,Smoking,7900,0.00822916666667,False,True,smoking
266,45-49,650000,SA,Saudi Arabia,11.1598191967,Smoking,5400,0.00830769230769,False,True,smoking
267,50-54,370000,SA,Saudi Arabia,9.37340709423,Smoking,2800,0.00756756756757,False,True,smoking
268,55-59,230000,SA,Saudi Arabia,8.75527719563,Smoking,1900,0.00826086956522,False,True,smoking
269,60-64,110000,SA,Saudi Arabia,8.71388485495,Smoking,1000,0.00909090909091,False,True,smoking
270,15-19,1200000,TN,Tunisia,0.795086548223,Smoking,29000,0.0241666666667,False,False,smoking
271,20-24,1400000,TN,Tunisia,5.15627900231,Smoking,49000,0.035,False,False,smoking
272,25-29,1200000,TN,Tunisia,14.0444721646,Smoking,44000,0.0366666666667,False,False,smoking
273,30-34,880000,TN,Tunisia,14.3051202384,Smoking,32000,0.0363636363636,False,False,smoking
274,35-39,560000,TN,Tunisia,24.2965355837,Smoking,20000,0.0357142857143,False,False,smoking
275,40-44,330000,TN,Tunisia,34.0097100566,Smoking,12000,0.0363636363636,False,False,smoking
276,45-49,240000,TN,Tunisia,34.2073978945,Smoking,9100,0.0379166666667,False,False,smoking
277,50-54,160000,TN,Tunisia,28.1888938352,Smoking,6900,0.043125,False,False,smoking
278,55-59,100000,TN,Tunisia,26.7319004003,Smoking,5100,0.051,False,False,smoking
279,60-64,66000,TN,Tunisia,25.5504455889,Smoking,4100,0.0621212121212,False,False,smoking
280,15-19,650000,AE,United Arab Emirates,0.906055242972,Smoking,2500,0.00384615384615,False,True,smoking
281,20-24,1200000,AE,United Arab Emirates,6.47301210174,Smoking,8000,0.00666666666667,False,True,smoking
282,25-29,2000000,AE,United Arab Emirates,9.77980259465,Smoking,13000,0.0065,False,True,smoking
283,30-34,1600000,AE,United Arab Emirates,16.0674389439,Smoking,9900,0.0061875,False,True,smoking
284,35-39,1100000,AE,United Arab Emirates,12.3366793135,Smoking,7100,0.00645454545455,False,True,smoking
